frame,elapsed_ms
2130,16.761485
2131,16.664236
2132,16.688468
2133,16.631569
2134,16.669928
2135,16.576109
2136,16.748594
2137,16.690372
2138,16.641281
2139,16.737177
2140,16.680748
2141,16.506346
2142,16.735346
2143,16.685800
2144,16.724015
2145,16.596839
2146,16.666839
2147,16.599073
2148,16.768556
2149,16.638373
2150,16.666902
2151,16.659773
2152,16.909012
2153,16.350852
2154,16.742185
2155,16.663589
2156,16.673891
2157,16.675678
2158,16.668494
2159,16.611667
2160,16.729982
2161,16.671050
2162,16.632153
2163,16.694671
2164,16.865841
2165,16.365168
2166,16.739865
2167,16.681402
2168,16.752640
2169,16.585169
2170,16.678991
2171,16.568603
2172,16.782512
2173,16.739603
2174,16.593668
2175,16.636184
2176,16.789038
2177,16.456376
2178,16.777253
2179,16.631131
2180,16.778548
2181,16.667340
2182,16.628069
2183,16.524762
2184,16.737392
2185,16.685489
2186,16.708133
2187,16.625246
2188,16.699335
2189,16.595236
2190,16.694485
2191,16.665331
2192,16.857140
2193,16.505083
2194,16.644517
2195,16.576799
2196,16.826877
2197,16.741354
2198,16.503474
2199,16.658743
2200,16.672584
2201,16.590240
2202,16.738881
2203,16.697680
2204,16.687683
2205,16.725585
2206,16.562205
2207,16.589795
2208,16.738720
2209,16.862962
2210,16.476088
2211,16.687436
2212,16.656583
2213,16.627696
2214,16.694799
2215,16.672935
2216,16.692883
2217,16.696138
2218,16.628009
2219,16.589436
2220,16.771289
2221,16.625935
2222,16.701265
2223,16.649477
2224,16.706520
2225,16.553140
2226,16.746475
2227,16.655678
2228,16.909283
2229,16.470365
2230,16.629337
2231,16.560896
2232,16.798432
2233,16.711958
2234,16.790467
2235,16.443065
2236,16.665157
2237,16.614822
2238,16.729888
2239,16.720167
2240,16.599224
2241,16.998319
2242,16.644123
2243,16.281242
2244,17.100185
2245,16.531925
2246,16.792841
2247,16.503767
2248,16.741579
2249,16.349753
2250,17.069051
2251,16.704181
2252,16.761903
2253,16.264699
2254,16.607884
2255,16.578798
2256,16.827855
2257,16.636578
2258,16.626386
2259,16.752812
2260,16.560332
2261,16.620075
2262,16.739150
2263,16.654929
2264,16.660261
2265,16.745069
2266,16.793969
2267,16.388683
2268,16.753389
2269,16.678906
2270,16.645910
2271,16.670347
2272,16.646249
2273,16.613028
2274,16.734246
2275,16.677986
2276,16.690079
2277,16.664139
2278,16.657859
2279,16.569437
2280,16.754700
2281,16.677444
2282,16.637319
2283,16.681912
2284,16.811153
2285,16.446471
2286,16.765031
2287,16.652079
2288,16.656010
2289,16.657951
2290,16.657098
2291,16.720338
2292,16.636968
2293,16.677384
2294,16.669357
2295,16.642604
2296,16.672534
2297,16.585649
2298,16.749746
2299,16.652697
2300,16.741732
2301,16.603108
2302,16.755471
2303,16.499208
2304,16.807999
2305,16.597711
2306,16.703355
2307,16.637782
2308,16.793758
2309,16.642826
2310,16.645190
2311,16.602188
2312,16.645920
2313,16.686818
2314,16.777794
2315,16.462475
2316,16.862452
2317,16.542678
2318,16.731083
2319,16.592335
2320,16.668573
2321,16.596282
2322,16.793426
2323,16.665535
2324,16.610797
2325,16.666954
2326,16.774813
2327,16.483760
2328,16.800226
2329,16.685891
2330,16.647520
2331,16.671515
2332,16.664359
2333,16.579486
2334,16.859641
2335,16.499893
2336,16.674647
2337,16.658898
2338,16.774949
2339,16.495102
2340,16.747847
2341,16.821772
2342,16.560456
2343,16.604746
2344,16.681913
2345,16.582227
2346,16.776547
2347,16.617739
2348,16.677609
2349,16.658412
2350,16.746889
2351,16.530835
2352,16.727763
2353,16.922772
2354,16.495592
2355,16.604874
2356,16.666895
2357,16.563490
2358,16.789822
2359,16.783090
2360,16.518947
2361,16.696539
2362,16.633040
2363,16.615521
2364,16.702850
2365,16.664993
2366,16.880422
2367,16.648401
2368,16.490254
